"chembl_id","pref_name","synonyms"
"CHEMBL10","SB-203580","SB-203580"
"CHEMBL100","LEVCROMAKALIM","BRL-38227"
"CHEMBL100","LEVCROMAKALIM","Levcromakalim"
"CHEMBL1000","CETIRIZINE","AC-170"
"CHEMBL1000","CETIRIZINE","Cetirizine"
"CHEMBL100014","AN-9","An-9"
"CHEMBL100014","AN-9","Butyric Acid 2,2-Dimethyl-Propionyloxymethyl Ester"
"CHEMBL100014","AN-9","Butyric Acid 2,2-Dimethyl-Propionyloxymethyl Ester(An9)"
"CHEMBL100014","AN-9","Pivanex"
"CHEMBL100116","PENTAZOCINE","NIH-7958"
"CHEMBL100116","PENTAZOCINE","NSC-107430"
"CHEMBL100116","PENTAZOCINE","Pentazocine"
"CHEMBL100116","PENTAZOCINE","Pentazocine civ"
"CHEMBL100116","PENTAZOCINE","WIN 20,228"
"CHEMBL100116","PENTAZOCINE","WIN-20228"
"CHEMBL10017","TERTIARY ALCOHOL PRIMARY SUCCINATEESTER",NULL
"CHEMBL1002","LEVOSALBUTAMOL","Albuterol (r)-form"
"CHEMBL1002","LEVOSALBUTAMOL","ASF-1096"
"CHEMBL1002","LEVOSALBUTAMOL","Levalbuterol"
"CHEMBL1002","LEVOSALBUTAMOL","Levosalbutamol"
"CHEMBL1002","LEVOSALBUTAMOL","Xopenex"
"CHEMBL100222","1,10-Phenanthrolineplatinum (II) Benzoylthiourea Complex",NULL
"CHEMBL100259","URIDINE","NSC-20256"
"CHEMBL100259","URIDINE","Uridine"
"CHEMBL1003","CLAVULANATE POTASSIUM","BRL 14151K"
"CHEMBL1003","CLAVULANATE POTASSIUM","BRL-14151K"
"CHEMBL1003","CLAVULANATE POTASSIUM","Clavulanate potassium"
"CHEMBL1003","CLAVULANATE POTASSIUM","Potassium clavulanate"
"CHEMBL10030","LY-117018","LY-117018"
"CHEMBL1004","DOXYLAMINE","Decapryn"
"CHEMBL1004","DOXYLAMINE","Doxylamine"
"CHEMBL1004","DOXYLAMINE","Doxy-Sleep-Aid"
"CHEMBL1004","DOXYLAMINE","Unisom"
"CHEMBL10041","AFIMOXIFENE",NULL
"CHEMBL100424","PICARTAMIDE","Picartamide"
"CHEMBL100473","U-0126",NULL
"CHEMBL1005","REMIFENTANIL","GI 87084X"
"CHEMBL1005","REMIFENTANIL","IDS-NR-005"
"CHEMBL1005","REMIFENTANIL","Remifentanil"
"CHEMBL1005","REMIFENTANIL","Ultiva"
"CHEMBL1006","AMIFOSTINE","Amifostine"
"CHEMBL1006","AMIFOSTINE","Amifostine disulfide"
"CHEMBL1006","AMIFOSTINE","Amifostine trihydrate"
"CHEMBL1006","AMIFOSTINE","Ethiofos"
"CHEMBL1006","AMIFOSTINE","Gammaphos"
"CHEMBL1006","AMIFOSTINE","NSC-296961"
"CHEMBL1006","AMIFOSTINE","WR-2721"
"CHEMBL1006","AMIFOSTINE","WR-2721 TRIHYDRATE"
"CHEMBL1006","AMIFOSTINE","YM-08310"
"CHEMBL100622","HEXAMETHONIUM",NULL
"CHEMBL100684","ACTINOPLANIC ACID A",NULL
"CHEMBL1007","GONADORELIN","Gonadorelin"
"CHEMBL1007","GONADORELIN","Human gonadoliberin-i"
"CHEMBL100749","rac-VOROZOLE",NULL
"CHEMBL1008","BEPRIDIL","Bepadin"
"CHEMBL1008","BEPRIDIL","Bepridil"
"CHEMBL1008","BEPRIDIL","Vascor"
"CHEMBL100815","CHAETOMELLIC ACID B","Chaetomellic Acid B"
"CHEMBL10085","MAZAPERTINE","Mazapertine"
"CHEMBL10085","MAZAPERTINE","RWJ-377796"
"CHEMBL1009","LEVODOPA","Bendopa"
"CHEMBL1009","LEVODOPA","Levodopa"
"CHEMBL1009","LEVODOPA","NSC-118381"
"CHEMBL1009","LEVODOPA","V-1512"
"CHEMBL100922","(E)-3,4-STILBENDIOL",NULL
"CHEMBL100940","NALTRIBEN","Naltriben"
"CHEMBL101","PHENYLBUTAZONE","Diphenylbutazone"
"CHEMBL101","PHENYLBUTAZONE","Phenylbutazone"
"CHEMBL1010","CEFOTAXIME SODIUM","Cefotaxime sodium"
"CHEMBL1010","CEFOTAXIME SODIUM","Cefotaxime sodium salt"
"CHEMBL1010","CEFOTAXIME SODIUM","HR 756"
"CHEMBL1010","CEFOTAXIME SODIUM","HR-756"
"CHEMBL1010","CEFOTAXIME SODIUM","RU 24756"
"CHEMBL1010","CEFOTAXIME SODIUM","RU-24756"
"CHEMBL1011","METHYLPIPERAZINE","Methylpiperazine"
"CHEMBL10118","FAMOXADONE",NULL
"CHEMBL1012","2-PHTHALIMIDOGLUTARAMIC ACID","2-Phthalimidoglutaramic Acid"
"CHEMBL101253","VATALANIB","BAY-86-5127"
"CHEMBL101253","VATALANIB","CGP-79787"
"CHEMBL101253","VATALANIB","K-222584"
"CHEMBL101253","VATALANIB","NVP-PTK787"
