id	type	heading	synonyms
CHEMBL10	Drug	Sb-203580	
CHEMBL100	Drug	Levcromakalim	BRL-38227;(-)-cromakalim;Levcromakalim;Levcromakalim;Levcromakalim
CHEMBL1000	Drug	Cetirizine	AC-170;Cetiderm;Cetirizina;Cetirizine;Cetirizine;Cetirizine;Cetirizine;Cetirizine
CHEMBL100014	Drug	An-9	An-9;Butyric acid 2,2-dimethyl-propionyloxymethyl ester;Butyric acid 2,2-dimethyl-propionyloxymethyl ester(an9);Pivanex
CHEMBL100116	Drug	Pentazocine	Dl-pentazocine;NIH-7958;NSC-107430;Pentazocina;Pentazocine;Pentazocine;Pentazocine;Pentazocine;Pentazocine;Pentazocine;Pentazocine;Pentazocine;Pentazocine civ;WIN 20,228;WIN-20228
CHEMBL10017	Drug	Tertiary alcohol primary succinateester	
CHEMBL1002	Drug	Levosalbutamol	Albuterol (r)-form;ASF-1096;Levalbuterol;Levosalbutamol;Levosalbutamol;R-salbutamol
CHEMBL100222	Drug	1,10-phenanthrolineplatinum (ii) benzoylthiourea complex	
CHEMBL100259	Drug	Uridine	1-.beta.-d-ribofuranosyluracil;NSC-20256;Uracil riboside;Uridine;Uridine;Uridine
CHEMBL1003	Drug	Clavulanate potassium	BRL 14151K;BRL-14151K;Clavulanate potassium;Clavulanate potassium;Clavulanate potassium;Clavulanate potassium;Clavulanate potassium;Potassium clavulanate;Potassium clavulanate
CHEMBL10030	Drug	Ly-117018	
CHEMBL1004	Drug	Doxylamine	Doxilamina;Doxylamine;Doxylamine
CHEMBL100424	Drug	Picartamide	Picartamida;Picartamide
CHEMBL100473	Drug	U-0126	
CHEMBL1005	Drug	Remifentanil	GI 87084X;IDS-NR-005;Ramifentanyl;Remifentanil;Remifentanil;Remifentanil;Remifentanil;Remifentanil;Remifentanilo;Remifentanyl;Ultiva-
CHEMBL1006	Drug	Amifostine	Amifostina;Amifostine;Amifostine;Amifostine;Amifostine;Amifostine;Amifostine;Amifostine;Amifostine;Amifostine;Amifostine;Amifostine anhydrous;Amifostine disulfide;Amifostine trihydrate;Amifostine trihydrate;Ethiofos;Ethiofos anhydrous;Gammaphos;NSC-296961;NSC-758236;WR-2721;WR-2721 TRIHYDRATE;YM-08310
CHEMBL100622	Drug	Hexamethonium	Hexamethone;Hexamethonium cation;Hexamethonium ion;Hexathonide
CHEMBL100684	Drug	Actinoplanic acid a	
CHEMBL1007	Drug	Gonadorelin	Gonadorelin;Gonadorelin;Gonadorelin;Gonadorelin;Gonadorelin;Gonadorelin;Gonadorelina;Gonadorelin decapeptide;Gonadoreline;Gonadotropin-releasing hormone
CHEMBL100749	Drug	Rac-vorozole	
CHEMBL1008	Drug	Bepridil	Bepridil;Bepridil;Bepridil
CHEMBL100815	Drug	Chaetomellic acid b	
CHEMBL10085	Drug	Mazapertine	Mazapertina;Mazapertine;RWJ-377796
CHEMBL1009	Drug	Levodopa	Cvt-301;Levodopa;Levodopa;Levodopa;Levodopa;Levodopa;Levodopa;Levodopa;Levodopa;Levodopa;Levodopa;Levodopa;Levodopa component of carbilev;Levodopa component of parcopa;Levodopa component of sinemet;Levodopum;NSC-118381;V-1512
CHEMBL100922	Drug	(e)-3,4-stilbendiol	
CHEMBL100940	Drug	Naltriben	
CHEMBL101	Drug	Phenylbutazone	Ambene;Artrizin;Bizolin;Butadion;Butadiona;Butapirazol;Butatron;Butoz;Buzon;Diphebuzol;Ecobutazone;Equipalazone;Exrheudon n;Fenibutazona;Fenibutol;Fenilbutazona;Fenylbutazon;Flexazone;G-13871;Intrabutazone;Intrazone;Mepha-butazon;NSC-25134;Phebuzine;Phenylbutazone;Phenylbutazone;Phenylbutazone;Phenylbutazone;Phenylbutazone;Phenyzene;R-3-ZON;Robizone-v;Shigrodin;Tevcodyne;Uzone;Zolaphen
CHEMBL1010	Drug	Cefotaxime sodium	Cefotaxime sodium;Cefotaxime sodium;Cefotaxime sodium;Cefotaxime sodium;Cefotaxime sodium;Cefotaxime sodium;Cefotaxime sodium salt;HR 756;HR-756;NSC-756666;RU 24756;RU-24756;Sodium cefotaxime
CHEMBL1011	Drug	Methylpiperazine	
CHEMBL10118	Drug	Famoxadone	
CHEMBL1012	Drug	2-phthalimidoglutaramic acid	2-Phthalimidoglutaramic Acid;2-Phthalimidoglutaramic Acid (In Rats, Rabbits, Dogs, Mice, And Guinea Pigs)
CHEMBL101253	Drug	Vatalanib	BAY-86-5127;CGP-79787;K-222584;NVP-PTK787;Ptk-787;PTK787;Vatalanib;Vatalanib;Vatalanib;Vatalanib;Vatalanib succinate;Vatalanib succinate;ZK-222584;ZK222584
CHEMBL101263	Drug	4-nitrobenzoic acid	
CHEMBL101284	Drug	Enciprazine	Enciprazina;Enciprazine;Enciprazine
CHEMBL1013	Drug	Loracarbef anhydrous	Anhydrous loracarbef;Loracarbef anhydrous;Loracarbef, anhydrous;Lorbef;LY-163892
CHEMBL101309	Drug	Avasimibe	Avasimiba;Avasimibe;Avasimibe;CI-1011
CHEMBL101326	Drug	Fipronil	Fipronil;Fipronil (ema epar: veterinary);MB 46030;MB-46030;NSC-758960;RM 1601;RM-1601;Termidor
CHEMBL1014	Drug	Candesartan cilexetil	Candesartan 1-(((cyclohexyloxy)carbonyl)oxy)ethyl ester;Candesartan cilexetil;Candesartan cilexetil;Candesartan cilexetil;Candesartan cilexetil;Candesartan cilexetil;Candesartan cilexetil;NSC-758697;TCV-116
CHEMBL1015	Drug	Evans blue free acid	Evans blue free acid;NSC-65849
CHEMBL101506	Drug	Pinosylvin	
CHEMBL1016	Drug	Candesartan	Blopress;Candemore;Candesartan;Candesartan;Candesartan;Candesartan;Candesartan;Candesartan cilexetil related compound g;CV-11974;NSC-759858
CHEMBL1017	Drug	Telmisartan	BIBR-277;BIBR 277 SE;BIBR-277 SE;BIBR-277-SE;Bibr-277se;C09CA07;Kinzalmono;Pritor;Semintra;Telmisartan;Telmisartan;Telmisartan;Telmisartan;Telmisartan;Telmisartan;Telmisartan;Telmisartan;Telmisartan;Telmisartan;Telmisartan;Telmisartan actavis;Telmisartan teva
CHEMBL101740	Drug	Cidoxepin	Cidoxepin;Cidoxepina;Cidoxepine;Doxepin trans-form hydrochloride;Doxepin trans-form hydrochloride;Doxepin, (z)-
CHEMBL101776	Drug	Methyl (methoxycarbonyl)oxy(methylsulfonyl)carbamate	
