chembl_id,pref_name,synonyms
CHEMBL2340,Endothelin-converting enzyme 1,Endothelin-converting enzyme 1
CHEMBL4802,"Nitric-oxide synthase, endothelial","Nitric oxide synthase, endothelial"
CHEMBL3744,Glutamate receptor ionotropic kainate 3,"Glutamate receptor ionotropic, kainate 3"
CHEMBL3480,Chitin synthase 1,Chitin synthase 1
CHEMBL3528,Neutral sphingomyelinase,Sphingomyelin phosphodiesterase 2
CHEMBL2778,Ileal bile acid transporter,Ileal sodium/bile acid cotransporter
CHEMBL4123,Neurotensin receptor 1,Neurotensin receptor type 1
CHEMBL3397,Cytochrome P450 2C9,Cytochrome P450 2C9
CHEMBL3622,Cytochrome P450 2C19,Cytochrome P450 2C19
CHEMBL4128,Tyrosine-protein kinase TIE-2,Angiopoietin-1 receptor
CHEMBL2898,NF-kappaB inhibitor alpha,NF-kappa-B inhibitor alpha
CHEMBL3529,Inhibitor of nuclear factor kappa B kinase epsilon subunit,Inhibitor of nuclear factor kappa-B kinase subunit epsilon
CHEMBL3530,Dual specificity mitogen-activated protein kinase kinase 7,Dual specificity mitogen-activated protein kinase kinase 7
CHEMBL2782,Acyl coenzyme A:cholesterol acyltransferase 1,Sterol O-acyltransferase 1
CHEMBL3681,Monoamine oxidase A,Amine oxidase [flavin-containing] A
CHEMBL3912,Carbonic anhydrase XIII,Carbonic anhydrase 13
CHEMBL3682,Integrin alpha-1,Integrin alpha-1
CHEMBL3874,ADAMTS4,A disintegrin and metalloproteinase with thrombospondin motifs 4
CHEMBL1866,Voltage-gated potassium channel subunit Kv7.1,Potassium voltage-gated channel subfamily KQT member 1
CHEMBL4497,NADH-ubiquinone oxidoreductase chain 1,NADH-ubiquinone oxidoreductase chain 1
CHEMBL2602,Cathepsin B,Cathepsin B
CHEMBL4498,NADH-ubiquinone oxidoreductase chain 3,NADH-ubiquinone oxidoreductase chain 3
CHEMBL4499,NADH-ubiquinone oxidoreductase chain 4,NADH-ubiquinone oxidoreductase chain 4
CHEMBL2644,Carboxypeptidase A4,Carboxypeptidase A4
CHEMBL3481,Carboxypeptidase A1,Carboxypeptidase A1
CHEMBL2645,Mast cell carboxypeptidase A,Mast cell carboxypeptidase A
CHEMBL2646,Phosphoribosyl pyrophosphate synthetase-associated protein 2,Phosphoribosyl pyrophosphate synthase-associated protein 2
CHEMBL4767,Vesicular acetylcholine transporter,Vesicular acetylcholine transporter
CHEMBL4501,Ribosomal protein S6 kinase 1,Ribosomal protein S6 kinase beta-1
CHEMBL4502,Cytidine deaminase,Cytidine deaminase
CHEMBL331,Cyclin-dependent kinase 4,Cyclin-dependent kinase 4
CHEMBL4036,Cyclin-dependent kinase 5,Cyclin-dependent kinase 5
CHEMBL4037,Carnitine palmitoyltransferase 2,"Carnitine O-palmitoyltransferase 2, mitochondrial"
CHEMBL3522,Cytochrome P450 17A1,"Steroid 17-alpha-hydroxylase/17,20 lyase"
CHEMBL3879,Metabotropic glutamate receptor 7,Metabotropic glutamate receptor 7
CHEMBL4626,Metabotropic glutamate receptor 8,Metabotropic glutamate receptor 8
CHEMBL3594,Carbonic anhydrase IX,Carbonic anhydrase 9
CHEMBL2420,Carbonic anhydrase-related protein 2,Carbonic anhydrase-related protein 11
CHEMBL3891,Calpain 1,Calpain-1 catalytic subunit
CHEMBL3777,Metabotropic glutamate receptor 7,Metabotropic glutamate receptor 7
CHEMBL4627,Myosin light chain kinase,Myosin light chain kinase 3
CHEMBL4628,Glutamate dehydrogenase,"Glutamate dehydrogenase 1, mitochondrial"
CHEMBL4629,Complement factor H,Complement factor H
CHEMBL4503,Nociceptin receptor,Nociceptin receptor
CHEMBL4504,Rho-GTPase-activating protein 3,Beta-chimaerin
CHEMBL4630,Serine/threonine-protein kinase Chk1,Serine/threonine-protein kinase Chk1
