id	type	heading	synonyms
CHEMBL1075021	Target	DNA gyrase subunit B	DNA gyrase subunit B;5.6.2.2;DNA gyrase subunit B;gyrB
CHEMBL1075022	Target	ParE	DNA topoisomerase (ATP-hydrolyzing);5.6.2.2;DNA topoisomerase (ATP-hydrolyzing);parE
CHEMBL1075023	Target	5'-methylthioadenosine/S-adenosylhomocysteine nucleosidase	Adenosylhomocysteine nucleosidase;3.2.2.9;Adenosylhomocysteine nucleosidase;mtf
CHEMBL1075024	Target	Enoyl-(Acyl-carrier-protein) reductase	Enoyl-[acyl-carrier-protein] reductase FabK;1.13.12.16;1.3.-.-;CS877_03785;CSH34_06180;Enoyl-[acyl-carrier-protein] reductase FabK;ERS019416_00326;ERS019687_00144;ERS020138_00781;ERS020158_00154;ERS020525_00230;ERS020528_00394;ERS020532_00901;ERS020598_01011;ERS020726_00825;ERS020831_00410;ERS020873_01242;ERS020948_00329;ERS021280_00345;ERS021733_02209;ERS022390_01437;ERS232497_00402;ERS232524_01992;ERS367337_02077;ERS409277_00291;EZ408_009215;fabK;FIU69_09620;GM533_03105;GM543_03245;NCTC13735_00608;Putative enoyl-(Acyl-carrier-protein) reductase II;SAMEA104035127_00124;SAMEA104035134_00125;SAMEA104035937_00537;SAMEA104154639_00246;SAMEA104154682_00737;SAMEA2050264_00272;SAMEA2050326_01783;SAMEA2066126_00383;SAMEA2203858_00733;SAMEA2203917_01295;SAMEA2335953_00871;SAMEA2335963_01381;SAMEA2335973_00655;SAMEA2335988_01410;SAMEA2335990_00314;SAMEA2335995_01982;SAMEA2467564_00619;SAMEA2521502_01333;SAMEA2521548_00482;SAMEA2521663_00890;SAMEA2627268_00401;SAMEA2627268_00401 GN  ;SAMEA2696318_01931;SAMEA2696453_01755;SAMEA2796435_01260;SAMEA2796719_00924;SAMEA3171064_01878;SAMEA3171064_01878 GN  ;SAMEA3232645_00177;SAMEA3309691_01461;SAMEA3309728_02260;SAMEA3309780_01855;SAMEA3309798_02294;SAMEA3309804_02010;SAMEA3309811_01934;SAMEA3309816_01850;SAMEA3353590_01691;SAMEA3354337_00998;SAMEA3381403_02149;SAMEA3381572_00643;SAMEA3381590_00268;SAMEA3381642_01731;SAMEA3389245_02219;SAMEA3389245_02219 GN  ;SAMEA3389766_01405;SAMEA3389766_01405 GN  ;SAMEA3431486_01497;SAMEA3431589_02299;SAMEA3447943_00249;SAMEA3713874_02298;SAMEA3714202_00056;SAMEA3714263_02284;Trans-2-enoyl-ACP reductase II
CHEMBL1075025	Target	Undecaprenyl pyrophosphate synthase	Isoprenyl transferase;2.5.1.-;Isoprenyl transferase;uppS
CHEMBL1075026	Target	Streptavidin	Streptavidin;Streptavidin
CHEMBL1075027	Target	B-N-acetylhexosaminidase	Beta-N-acetylhexosaminidase;3.2.1.52;Beta-N-acetylhexosaminidase;hex
CHEMBL1075028	Target	Alpha carbonic anhydrase	Carbonic anhydrase;4.2.1.1;CA;Carbonic anhydrase
CHEMBL1075029	Target	A1 adenosine receptor	Adenosine receptor A1;Adenosine receptor A1
CHEMBL1075030	Target	Urokinase-type plasminogen activator	Urokinase-type plasminogen activator;3.4.21.73;PLAU;uPA;U-plasminogen activator;Urokinase-type plasminogen activator;Urokinase-type plasminogen activator chain B;Urokinase-type plasminogen activator long chain A;Urokinase-type plasminogen activator short chain A
CHEMBL1075031	Target	5-methylthioadenosine/S-adenosylhomocysteine deaminase	5-methylthioadenosine/S-adenosylhomocysteine deaminase;3.5.4.28;3.5.4.31;5-methylthioadenosine/S-adenosylhomocysteine deaminase;mtaD;MTA/SAH deaminase
CHEMBL1075032	Target	Adenosylhomocysteinase	Adenosylhomocysteinase;3.3.1.1;Adenosylhomocysteinase;AdoHcyase;ahcY;S-adenosyl-L-homocysteine hydrolase
CHEMBL1075033	Target	Calcium dependent protein kinase	Calcium dependent protein kinase;Calcium dependent protein kinase;CDPK
CHEMBL1075034	Target	Thymidine kinase	Thymidine kinase;2.7.1.21;Thymidine kinase;TK
CHEMBL1075035	Target	Beta-hexosaminidase	Beta-hexosaminidase;3.2.1.52;Beta-hexosaminidase;Beta-N-acetylhexosaminidase;N-acetyl-beta-glucosaminidase;nagZ
CHEMBL1075037	Target	Coagulase/fibrinolysin	Coagulase/fibrinolysin;3.4.23.48;Coagulase/fibrinolysin;pla;Plasminogen activator
CHEMBL1075038	Target	Beta-glucosidase	Beta-glucosidase;3.2.1.21;abg;Amygdalase;Beta-D-glucoside glucohydrolase;Beta-glucosidase;Cellobiase;Gentiobiase
CHEMBL1075039	Target	Cytochrome P450 165B3	Cytochrome P450 165B3;1.14.-.-;cyp165B3;Cytochrome P450 165B3;oxyB;Vancomycin biosynthesis protein OxyB
CHEMBL1075040	Target	UDP-3-O-[3-hydroxymyristoyl] N-acetylglucosamine deacetylase	UDP-3-O-acyl-N-acetylglucosamine deacetylase;3.5.1.108;envA;lpxC;UDP-3-O-acyl-GlcNAc deacetylase;UDP-3-O-acyl-N-acetylglucosamine deacetylase;UDP-3-O-[R-3-hydroxymyristoyl]-N-acetylglucosamine deacetylase
CHEMBL1075041	Target	Peptide deformylase 1A, chloroplastic	Peptide deformylase 1A, chloroplastic/mitochondrial;3.5.1.88;AtDEF1;AtPDF1A;DEF1 ;PDF1A;PDF 1A;Peptide deformylase 1A, chloroplastic/mitochondrial;Polypeptide deformylase
CHEMBL1075042	Target	Endo-beta-N-acetylglucosaminidase	Endo-beta-N-acetylglucosaminidase;3.2.1.96;Endo-beta-N-acetylglucosaminidase
CHEMBL1075043	Target	Guanyl-specific ribonuclease T1	Guanyl-specific ribonuclease T1;4.6.1.24;Guanyl-specific ribonuclease T1;RNase T1;rntA
CHEMBL1075044	Target	Enoyl-[acyl-carrier-protein] reductase [NADH]	Enoyl-[acyl-carrier-protein] reductase [NADH] FabI;1.3.1.9;Cold shock-induced protein 15;CSI15;Enoyl-[acyl-carrier-protein] reductase [NADH] FabI;ENR;fabI;NADH-dependent enoyl-ACP reductase;VEG241;Vegetative protein 241;yjbW 
CHEMBL1075045	Target	Dihydropteroate synthase	Dihydropteroate synthase;2.5.1.15;DHPS;Dihydropteroate pyrophosphorylase;Dihydropteroate synthase;folP;GBAA_0071
