id	enttype	heading	synonyms
Q113480445	Vaccine	ACAM2000 smallpox vaccine	ACAM2000
Q118676001	Vaccine	ACWY vaccine	MCV-4
Q98652743	Vaccine	AG0301-COVID19	Osaka University COVID-19 vaccine candidate;AG0301
Q107860980	Vaccine	ARCT-154	VBC-COV19-154
MESH:D000090985	Vaccine	AZD1222	Oxford vaccine;Oxford/AstraZeneca vaccine;Oxford–AstraZeneca COVID-19 vaccine;Vaxzevria;AstraZeneca vaccine;Astra vaccine;AZD 1222;AZD-1222;ChAdOx1 nCoV-19;Covishield;Consortium of the Jenner Institute COVID-19 vaccine candidate;AZD1222 Vaccine for the Prevention of COVID-19
Q106390652	Vaccine	Abdala	CIGB-66
MESH:D000090984	Vaccine	Ad26.COV2.S	Ad26COVS1;Jcovden;Janssen vaccine;Dutch vaccine;J7;Jhon
Q96695265	Vaccine	Ad5-nCoV	PakVak;Convidecia;CanSino vaccine;CanSino Biologics COVID-19 vaccine candidate
MESH:D023582	Vaccine	Alzheimer vaccines	Alzheimer vaccine
Q97154236	Vaccine	Anhui Zhifei Longcom Biopharmaceutical COVID-19 vaccine candidate	Zhongyianke Biotech–Liaoning Maokangyuan Biotech COVID-19 vaccine;Zifivax;ZF2001;ZF-UZ-VAC-2001;RBD-Dimer
Q4774738	Vaccine	Antigen-presenting cell vaccine	APC vaccine
Q124341960	Vaccine	ArVac Cecilia Grierson	ArVac
Q97154242	Vaccine	Arcov	People's Liberation Army (PLA) Academy of Military Sciences COVID-19 vaccine candidate
Q126010107	Vaccine	Australian bat lyssa vaccine	ABLV
MESH:D054991	Vaccine	Autogenous vaccines	autogenous vaccine;autogenous vaccines;autovaccination;autovaccine;autovaccines
Q97154230	Vaccine	BBIBP-CorV	Zhong'aikewei;Sinopharm vaccine;Sinopharm BIBP COVID-19 vaccine;SARS-CoV-2 Vaccine(Vero Cell);SARS-CoV-2 Vaccine (Vero Cell);inactivated novel coronavirus pneumonia (COVID-19) vaccine (Vero cells);Hayat-Vax;COVID-19 inactivated virus vaccine by Beijing Institute of Biological Products;Beijing Institute of Biological Products COVID-19 vaccine candidate
MESH:D001500	Vaccine	BCG vaccine	BCG;Bacillus Calmette Guerin Vaccine;Bacillus Calmette Guérin Vaccine;Bacillus Calmette–Guérin (BCG) vaccine
Q100694835	Vaccine	BriLife	rVSV-SARS-CoV-2-S;IIBR-100;IIBR 100
Q97154237	Vaccine	COVAX-19	Vaxine Pty Ltd COVID-19 vaccine candidate
Q107864269	Vaccine	COVAX-19	SpikoGen
MESH:D000086663	Vaccine	COVID-19 vaccine	SARS-CoV-2 vaccine;COVID-19 vaccines;COVID vaccine;coronavirus vaccine;corona vaccine
Q106728179	Vaccine	CY-1899	Theradigm-HBV
Q106514790	Vaccine	Chinese Academy of Medical Sciences COVID-19 vaccine	Kēwéifú;IMBCAMS COVID-19 vaccine;Covidful
Q5120048	Vaccine	CimaVax-EGF	recombinant human EGF-rP64K/montanide ISA 51 vaccine;Hu-rhEGF-rP64k;CimaVax
Q106350062	Vaccine	Corbevax	BioE COVID-19;BECOV2D
Q97154233	Vaccine	CoronaVac	Sinovac vaccine;Sinovac COVID-19 vaccine;PiCoVacc;Chinese vaccine;Chinese coronavirus vaccine
Q98703813	Vaccine	Covaxin / BBV152	Indian vaccine;Covaxin;BBV152
MESH:D022482	Vaccine	Cytomegalovirus vaccine	Cytomegalovirus vaccines
MESH:D019444	Vaccine	DNA vaccine	DNA-vaccine;DNA-based vaccine;vaccines, DNA
MESH:D015721	Vaccine	DPT vaccine	Diphtheria-Tetanus-Pertussis Vaccine;DTP vaccine;DTaP vaccine
Q17640358	Vaccine	DTaP-IPV vaccine	DPT-IPV vaccine
Q123002456	Vaccine	DTwP-HepB-Hib vaccine	pentavalent vaccine;5-in-1 vaccine
Q106522065	Vaccine	DelNS1-2019-nCoV-RBD-OPT	Pneucolin
MESH:D046129	Vaccine	Ebola vaccine	vaccine against Ebola
Q98947046	Vaccine	EpiVacCorona	VECTOR vaccine
Q5384030	Vaccine	Epstein–Barr vaccine	Epstein–Barr virus vaccine
MESH:D022361	Vaccine	Escherichia coli vaccines	E. coli vaccine;E. coli vaccines;Escherichia coli vaccine
Q98709202	Vaccine	Finlay-FR-1	Soberana 01;Finlay-FR-01
Q97154228	Vaccine	GX-19	Genexine Consortium (GenNBio COVID-19 vaccine candidate
Q98270627	Vaccine	Gam-COVID-Vac	Sputnik vaccine;Sputnik V;Russian vaccine;Russian Sputnik vaccine;Gamaleya Research Institute COVID-19 vaccine candidate;Gam-COVID-Vac Lyo
MESH:D000068857	Vaccine	Gardasil	recombinant human papillomavirus vaccine [types 6, 11, 16, 18],;Silgard;Gardisil;Human Papillomavirus Recombinant Vaccine Quadrivalent, Types 6, 11, 16, 18
MESH:D016915	Vaccine	HIV vaccine	AIDS Vaccines;AIDS Vaccine;HIV vaccines
